frequency,percentage error
2,0.611158351
58,0.270312349
10,0.914660528
587,0.206916524
3,0.588178353
15,0.988151453
862,0.029809537
4,1
173,0.29169345
60,0.132157125
3,0.625198707
86,0.047578389
228,0.085303812
6,0.993655591
48,0.153761589
5,1
46,1.19E-16
184,0.28244162
90,0.645450776
47,0.340898802
410,0.002674876
2,1
61,0.177269138
132,0.030579508
251,0.00305819
110,0.175853355
137,0.024765152
1,1
56,0.183701638
118,0.714089043
12,0.116734565
2,1
126,0.317916682
3,0.605995658
7,2.42E-12
121,0.036434812
156,0.029068646
16,0.299308465
48,0.167226684
3,0.791507888
2,0.281639844
27,0.100561407
48,0.321628206
299,0.14347597
6,0.999649909
10,0.881384466
33,1.92E-05
4,8.15E-11
12,0.116726926
47,0.162700889
191,0.225762979
57,0.167597221
171,0.00300589
118,0.714087292
18,0.374875019
2,0.506243657
49,0.173665472
5,0.997024041
2,0.832819774
61,1.72E-16
133,0.047233604
52,1.19E-16
45,1.81E-16
154,0.016437029
47,0.118519195
111,0.060371491
4,0.600824475
23,0.666592809
13,2.05E-16
2,0.902536286
104,0.093511012
100,0.655792862
173,0.002788023
4,1.15E-06
78,0.174880369
95,0.28813543
1173,0.670290739
9,0.972982954
67,1.39E-16
71,3.93E-16
9,0.81360223
129,0.050038542
2,1
3,1
58,0.184504506
16,0
47,0.162685247
180,0.116361446
21,1.39E-12
2,0.884885663
45,1.33E-16
1,1
29,0.977252769
112,0.100997527
434,0.062811427
1,1
2,0.780079393
83,0.910906951
3,0.605221798
107,0.048125201
120,0.714081981
97,0.132982184
112,0.233091585
9,0.682044358
120,0.664506032
2,0.781639281
5,0.466208677
4,8.15E-11
241,0.003356427
53,0.142273249
1,1
42,0.688321484
45,1.43E-16
48,0.57510616
71,1.49E-16
52,0.199645184
13,0.99698528
46,0.194700133
1,1
2,0.281906467
77,1.51E-07
48,0.167216684
2,1
154,0.074498904
48,0.153763538
50,0.251725635
105,0.008115972
45,1.25E-16
17,0.979746632
117,0.010221999
72,0.058846997
47,0.224059398
490,0.083149094
4,5.85E-05
7,0.859598413
41,0.962794729
60,0.216022886
10,0.59980313
3,0.67671179
5,0.410083238
51,0.192264349
91,0.011407124
23,0.999658122
47,1.60E-16
107,0.011682607
45,1.55E-16
84,0.214580961
2,0.943729789
514,0.110550039
46,0.194745854
23,0.721056987
1,1
119,0.039552959
4,1.27E-06
28,0.225923161
39,0.810525184
14,0.747036154
47,0.153242215
37,0.981036983
29,0.988151527
4,1.27E-06
4,0.591357494
83,0.208765884
4,0.929797914
163,0.400329915
124,0.036900469
170,0.319918901
296,0.045591342
2,0.972623269
1,1
54,1.59E-16
6,0.000374308
64,0.334141727
3,1
2,1
120,0.664513409
2,0.537753686
49,0.288202576
9,0.926576246
2,0.00365426
52,1.12E-16
19,0.653775982
47,0.136629944
514,0.110562777
366,0.237291253
514,0.110558002
43,0.187767638
1,1
47,0.162696263
1,1
65,0.307632325
47,0.162687592
116,0.471744357
2,1
72,1.29E-16
19,0.003926909
4,1
220,0.57682371
180,0.089031172
112,0.084150673
0,NaN
49,1.42E-16
46,0.19472608
305,0.82601206
11,0.150904332
1779,0.16748494
49,0.239098887
7,1
4,1
1,1
1172,0.670175231
3,0.988151737
6,1
35,0.407041615
54,0.194256783
1193,0.706307155
2,0.157092466
121,0.618540229
2,1
8,0.374875666
1,1
47,0.224055765
38,0.970391149
514,0.11054036
2,2.06E-12
47,0.144360923
18,0.88587764
1,1
9,0.972982468
46,0.19472608
4,1
9,0.972983384
1,1
69,0.107451028
9,1
19,0.653780877
1,1
112,0.233116638
24,0.710747704
34,0.458668281
1,1
9,0.972983605
67,0.130676396
3,0.751309835
47,0.224055468
49,0.374771949
68,2.09E-16
1,1
51,1.45E-16
173,0.133667395
48,0.335988
13,1
2,1
3,1
51,1.48E-16
3,1
2,1
54,1.71E-16
2,1
48,0.167239146
2,0.652527291
54,0.122822029
48,0.16422563
